ADM3_EN,ADM3_FR,ADM3_PCODE,ADM2_PCODE,DATE,VALIDON
,Biyouha,CM002008001,CM002008,2018-12-17 00:00:00,2019-01-04 00:00:00
,Blangoua,CM004002001,CM004002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Bogo,CM004001001,CM004001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Bokito,CM002003002,CM002003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Bombe,CM003003002,CM003003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Bondjock,CM002008002,CM002008,2018-12-17 00:00:00,2019-01-04 00:00:00
,Bot-Makak,CM002008003,CM002008,2018-12-17 00:00:00,2019-01-04 00:00:00
,Bourrha,CM004006001,CM004006,2018-12-17 00:00:00,2019-01-04 00:00:00
,Buea,CM010001001,CM010001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Bum,CM007001002,CM007001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Campo,CM009003003,CM009003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Darak,CM004002002,CM004002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Dargala,CM004001002,CM004001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Datcheka,CM004003001,CM004003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Dembo,CM006001003,CM006001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Demsa,CM006001004,CM006001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Deuk,CM002003003,CM002003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Dibamba,CM005003001,CM005003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Dibang,CM002008004,CM002008,2018-12-17 00:00:00,2019-01-04 00:00:00
,Dibombari,CM005001002,CM005001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Dikome Balue,CM010006002,CM010006,2018-12-17 00:00:00,2019-01-04 00:00:00
,Dimako,CM003002003,CM003002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Dir,CM001004001,CM001004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Dizangue,CM005003002,CM005003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Djebem,CM008004002,CM008004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Djohong,CM001004002,CM001004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Djoum,CM009001002,CM009001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Douala 1er,CM005004001,CM005004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Douala 2e,CM005004002,CM005004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Douala 3e,CM005004003,CM005004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Douala 4e,CM005004004,CM005004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Douala 5e,CM005004005,CM005004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Douala 6e,CM005004006,CM005004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Doume,CM003002006,CM003002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Doumetang,CM003002005,CM003002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Dschang,CM008005001,CM008005,2018-12-17 00:00:00,2019-01-04 00:00:00
,Dzeng,CM002010002,CM002010,2018-12-17 00:00:00,2019-01-04 00:00:00
,Ebebda,CM002002002,CM002002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Ebolowa 1er,CM009002003,CM009002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Ebolowa 2e,CM009002004,CM009002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Edea 1er,CM005003003,CM005003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Edea 2e,CM005003004,CM005003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Edzendouan,CM002005004,CM002005,2018-12-17 00:00:00,2019-01-04 00:00:00
,Efoulan,CM009002005,CM009002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Ekondo Titi,CM010006003,CM010006,2018-12-17 00:00:00,2019-01-04 00:00:00
,Elig-Mfomo,CM002002003,CM002002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Endom,CM002009003,CM002009,2018-12-17 00:00:00,2019-01-04 00:00:00
,Eseka,CM002008005,CM002008,2018-12-17 00:00:00,2019-01-04 00:00:00
,Esse,CM002005005,CM002005,2018-12-17 00:00:00,2019-01-04 00:00:00
,Evodoula,CM002002004,CM002002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Eyumodjock,CM010004002,CM010004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Fifinda,CM009003006,CM009003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Figuil,CM006003001,CM006003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Fiko,CM005001003,CM005001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Fokoue,CM008005002,CM008005,2018-12-17 00:00:00,2019-01-04 00:00:00
,Fongo-Tongo,CM008005003,CM008005,2018-12-17 00:00:00,2019-01-04 00:00:00
,Fontem,CM010003002,CM010003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Fotokol,CM004002003,CM004002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Foumban,CM008008002,CM008008,2018-12-17 00:00:00,2019-01-04 00:00:00
,Foumbot,CM008008003,CM008008,2018-12-17 00:00:00,2019-01-04 00:00:00
,Fundong,CM007001003,CM007001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Fungom,CM007004001,CM007004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Furu-Awa,CM007004002,CM007004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Galim,CM008001003,CM008001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Galim-Tignere,CM001002001,CM001002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Gari Gombo,CM003001001,CM003001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Garoua-Boulai,CM003004006,CM003004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Garoua 1er,CM006001005,CM006001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Garoua 2e,CM006001006,CM006001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Garoua 3e,CM006001007,CM006001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Gazawa,CM004001003,CM004001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Gobo,CM004003002,CM004003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Goulfey,CM004002004,CM004002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Guere,CM004003003,CM004003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Guider,CM006003002,CM006003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Guidiguis,CM004004001,CM004004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Hile-Alifa,CM004002005,CM004002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Hina,CM004006002,CM004006,2018-12-17 00:00:00,2019-01-04 00:00:00
,Idabato,CM010006004,CM010006,2018-12-17 00:00:00,2019-01-04 00:00:00
,Issanguele,CM010006005,CM010006,2018-12-17 00:00:00,2019-01-04 00:00:00
,Jakiri,CM007002001,CM007002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Kaele,CM004004002,CM004004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Kai-Kai,CM004003004,CM004003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Kalfou,CM004003005,CM004003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Kar-Hay,CM004003006,CM004003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Kekem,CM008002007,CM008002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Kette,CM003003003,CM003003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Kiiki,CM002003004,CM002003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Kolofata,CM004005001,CM004005,2018-12-17 00:00:00,2019-01-04 00:00:00
,Kombo Abedimo,CM010006006,CM010006,2018-12-17 00:00:00,2019-01-04 00:00:00
,Kombo Itindi,CM010006007,CM010006,2018-12-17 00:00:00,2019-01-04 00:00:00
,Kon Yambetta,CM002003005,CM002003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Kontcha,CM001002002,CM001002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Konye,CM010005001,CM010005,2018-12-17 00:00:00,2019-01-04 00:00:00
,Kouoptamo,CM008008004,CM008008,2018-12-17 00:00:00,2019-01-04 00:00:00
,Kousseri,CM004002006,CM004002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Koutaba,CM008008005,CM008008,2018-12-17 00:00:00,2019-01-04 00:00:00
,Koza,CM004006003,CM004006,2018-12-17 00:00:00,2019-01-04 00:00:00
,Kribi 1er,CM009003004,CM009003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Kribi 2e,CM009003005,CM009003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Kumba 1st,CM010005002,CM010005,2018-12-17 00:00:00,2019-01-04 00:00:00
,Kumba 2nd,CM010005003,CM010005,2018-12-17 00:00:00,2019-01-04 00:00:00
,Kumba 3rd,CM010005004,CM010005,2018-12-17 00:00:00,2019-01-04 00:00:00
,Kumbo,CM007002002,CM007002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Kye-Ossi,CM009004002,CM009004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Lagdo,CM006001008,CM006001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Lembe Yezoum,CM002001002,CM002001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Limbe 1st,CM010001002,CM010001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Limbe 2nd,CM010001003,CM010001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Limbe 3rd,CM010001004,CM010001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Lobo,CM002002005,CM002002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Logone-Birni,CM004002007,CM004002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Lolodorf,CM009003007,CM009003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Lomie,CM003002007,CM003002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Loum,CM005001004,CM005001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Maan,CM009004003,CM009004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Madingring,CM006004001,CM006004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Maga,CM004003007,CM004003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Magba,CM008008006,CM008008,2018-12-17 00:00:00,2019-01-04 00:00:00
,Makak,CM002008006,CM002008,2018-12-17 00:00:00,2019-01-04 00:00:00
,Makari,CM004002008,CM004002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Makenene,CM002003006,CM002003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Malantouen,CM008008007,CM008008,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mamfe,CM010004003,CM010004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mandjou,CM003004007,CM003004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Manjo,CM005001005,CM005001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Maroua 1er,CM004001004,CM004001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Maroua 2e,CM004001005,CM004001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Maroua 3e,CM004001006,CM004001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Martap,CM001005002,CM001005,2018-12-17 00:00:00,2019-01-04 00:00:00
,Massangam,CM008008008,CM008008,2018-12-17 00:00:00,2019-01-04 00:00:00
,Massock-Songloulou,CM005003005,CM005003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Matomb,CM002008007,CM002008,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mayo-Baleo,CM001002003,CM001002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mayo-Darle,CM001003003,CM001003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mayo-Hourna,CM006001009,CM006001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mayo-Moskota,CM004006004,CM004006,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mayo-Oulo,CM006003003,CM006003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mbalmayo,CM002010003,CM002010,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mbandjock,CM002001003,CM002001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mbang,CM003003004,CM003003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mbanga,CM005001006,CM005001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mbangassina,CM002004001,CM002004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mbankomo,CM002006003,CM002006,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mbe,CM001005003,CM001005,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mbengwi,CM007006002,CM007006,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mboma,CM003002009,CM003002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mbonge,CM010005005,CM010005,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mbotoro,CM003003005,CM003003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mbouanz,CM003002008,CM003002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mbouda,CM008001004,CM008001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mbven,CM007002003,CM007002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Meiganga,CM001004003,CM001004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Melon,CM005001007,CM005001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Menchum-Valley,CM007004003,CM007004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mengang,CM002009004,CM002009,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mengong,CM009002006,CM009002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mengueme,CM002010004,CM002010,2018-12-17 00:00:00,2019-01-04 00:00:00
,Meri,CM004001007,CM004001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Messamena,CM003002010,CM003002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Messok,CM003002011,CM003002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Messondo,CM002008008,CM002008,2018-12-17 00:00:00,2019-01-04 00:00:00
,Meyomessala,CM009001003,CM009001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Meyomessi,CM009001004,CM009001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mfou,CM002005006,CM002005,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mindif,CM004004003,CM004004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mindourou,CM003002004,CM003002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Minta,CM002001004,CM002001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mintom 2,CM009001005,CM009001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Misaje,CM007003002,CM007003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mogode,CM004006005,CM004006,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mokolo,CM004006006,CM004006,2018-12-17 00:00:00,2019-01-04 00:00:00
,Moloundou,CM003001002,CM003001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mombo,CM005001008,CM005001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Monatele,CM002002006,CM002002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mora,CM004005002,CM004005,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mouanko,CM005003006,CM005003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Moulvoudaye,CM004004004,CM004004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Moutourwa,CM004004005,CM004004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mundemba,CM010006008,CM010006,2018-12-17 00:00:00,2019-01-04 00:00:00
,Muyuka,CM010001005,CM010001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mvangane,CM009002007,CM009002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mvengue,CM009003008,CM009003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Nanga-Eboko,CM002001005,CM002001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Ndelele,CM003003006,CM003003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Ndem Nam,CM003003007,CM003003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Ndiang,CM003004005,CM003004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Ndikinimeki,CM002003007,CM002003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Ndom,CM005003007,CM005003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Ndop,CM007007003,CM007007,2018-12-17 00:00:00,2019-01-04 00:00:00
,Ndoukoula,CM004001008,CM004001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Ndu,CM007003003,CM007003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Ngambe,CM005003008,CM005003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Ngambe-Tikar,CM002004002,CM002004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Nganha,CM001005004,CM001005,2018-12-17 00:00:00,2019-01-04 00:00:00
,Ngaoui,CM001004004,CM001004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Ngaoundal,CM001001001,CM001001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Ngaoundere 1er,CM001005005,CM001005,2018-12-17 00:00:00,2019-01-04 00:00:00
,Ngaoundere 2e,CM001005006,CM001005,2018-12-17 00:00:00,2019-01-04 00:00:00
,Ngaoundere 3e,CM001005007,CM001005,2018-12-17 00:00:00,2019-01-04 00:00:00
,Ngie,CM007006003,CM007006,2018-12-17 00:00:00,2019-01-04 00:00:00
,Ngog-Mapubi,CM002008009,CM002008,2018-12-17 00:00:00,2019-01-04 00:00:00
,Ngomedzap,CM002010005,CM002010,2018-12-17 00:00:00,2019-01-04 00:00:00
,Ngoro,CM002004003,CM002004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Ngoulemakong,CM009002008,CM009002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Ngoumou,CM002006004,CM002006,2018-12-17 00:00:00,2019-01-04 00:00:00
,Ngoura,CM003004008,CM003004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Ngoyla,CM003002012,CM003002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Nguelemendouka,CM003002013,CM003002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Nguibassal,CM002008010,CM002008,2018-12-17 00:00:00,2019-01-04 00:00:00
,Nguti,CM010002002,CM010002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Ngwei,CM005003009,CM005003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Niete,CM009003009,CM009003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Nitoukou,CM002003008,CM002003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Njikwa,CM007006004,CM007006,2018-12-17 00:00:00,2019-01-04 00:00:00
,Njimom,CM008008009,CM008008,2018-12-17 00:00:00,2019-01-04 00:00:00
,Njinikom,CM007001004,CM007001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Njombe-Penja,CM005001009,CM005001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Nkambe,CM007003004,CM007003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Nkolmetet,CM002010006,CM002010,2018-12-17 00:00:00,2019-01-04 00:00:00
,Nkolofamba,CM002005007,CM002005,2018-12-17 00:00:00,2019-01-04 00:00:00
,Nkondjock,CM005002001,CM005002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Nkong-Ni,CM008005004,CM008005,2018-12-17 00:00:00,2019-01-04 00:00:00
,Nkongsamba 1er,CM005001010,CM005001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Nkongsamba 2e,CM005001011,CM005001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Nkongsamba 3e,CM005001012,CM005001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Nkoteng,CM002001006,CM002001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Nkum,CM007002004,CM007002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Nlonako,CM005001013,CM005001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Noni,CM007002005,CM007002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Nord-Makombe,CM005002002,CM005002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Nsem,CM002001007,CM002001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Ntui,CM002004004,CM002004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Nwa,CM007003005,CM007003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Nyakokombo,CM002009005,CM002009,2018-12-17 00:00:00,2019-01-04 00:00:00
,Nyambaka,CM001005008,CM001005,2018-12-17 00:00:00,2019-01-04 00:00:00
,Nyanon,CM005003010,CM005003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Nye'ete,CM009003010,CM009003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Obala,CM002002007,CM002002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Okola,CM002002008,CM002002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Oku,CM007002006,CM007002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Olamze,CM009004004,CM009004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Ombessa,CM002003009,CM002003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Oveng,CM009001006,CM009001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Penka-Michel,CM008005005,CM008005,2018-12-17 00:00:00,2019-01-04 00:00:00
,Pette,CM004001009,CM004001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Pitoa,CM006001010,CM006001,2018-12-17 00:00:00,2019-01-04 00:00:00
